"Latest: Time (s)","Latest: Potential (mV)","Latest: EKG (mV)"
0,0.034188034188,0.00157715562712
0.005,0.037851037851,0.00696223978092
0.01,0.02442002442,0.0145219359305
0.015,0.01221001221,0.0201226806305
0.02,0.003663003663,0.0215860737571
0.025,0.001221001221,0.0192801292481
0.03,-0.013431013431,0.0142503671729
0.035,-0.010989010989,0.00745727856082
0.04,-0.00732600732601,0.000768839124057
0.045,-0.014652014652,-0.00452127953665
0.05,-0.020757020757,-0.00893609391327
0.055,-0.017094017094,-0.0128380203862
0.06,-0.010989010989,-0.0154297287922
0.065,-0.013431013431,-0.0162792183491
0.07,-0.02442002442,-0.0165657253129
0.075,-0.028083028083,-0.0178180029116
0.08,-0.019536019536,-0.019764794931
0.085,-0.021978021978,-0.0211869786646
0.09,-0.019536019536,-0.021807087096
0.095,-0.028083028083,-0.0221999331342
0.1,-0.045177045177,-0.0238730196174
0.105,-0.047619047619,-0.0279511125473
0.11,-0.047619047619,-0.0334733837346
0.115,-0.047619047619,-0.0387995641489
0.12,-0.047619047619,-0.0430464795184
0.125,-0.0598290598291,-0.0465421975611
0.13,-0.0500610500611,-0.0496993363144
0.135,-0.047619047619,-0.0516567637359
0.14,-0.0500610500611,-0.0520996899588
0.145,-0.0500610500611,-0.0518286879928
0.15,-0.043956043956,-0.0510875936832
0.155,-0.0561660561661,-0.0502520542706
0.16,-0.0647130647131,-0.0507634390628
0.165,-0.0573870573871,-0.0528567790137
0.17,-0.0525030525031,-0.054834922813
0.175,-0.0586080586081,-0.0558844475021
0.18,-0.0598290598291,-0.0566778889948
0.185,-0.0671550671551,-0.057931224921
0.19,-0.0659340659341,-0.059855391818
0.195,-0.0634920634921,-0.0618670744229
0.2,-0.0512820512821,-0.0627056833486
0.205,-0.0549450549451,-0.0617424013726
0.21,-0.0573870573871,-0.0599580251616
0.215,-0.0622710622711,-0.0587186875724
0.22,-0.0720390720391,-0.0589899839129
0.225,-0.0732600732601,-0.06113703367
0.23,-0.0744810744811,-0.0644300096671
0.235,-0.0793650793651,-0.0680732114507
0.24,-0.0720390720391,-0.0713853696672
0.245,-0.0622710622711,-0.0730223015102
0.25,-0.0622710622711,-0.0722940843522
0.255,-0.0683760683761,-0.0703680528918
0.26,-0.0708180708181,-0.0688842507485
0.265,-0.0634920634921,-0.0680607252222
0.27,-0.0647130647131,-0.0672069518025
0.275,-0.0732600732601,-0.0666648274843
0.28,-0.0781440781441,-0.067446225442
0.285,-0.0915750915751,-0.0701988603213
0.29,-0.0989010989011,-0.0752155011849
0.295,-0.108669108669,-0.0821660377499
0.3,-0.120879120879,-0.0905875883513
0.305,-0.136752136752,-0.100488002888
0.31,-0.139194139194,-0.111429270443
0.315,-0.1221001221,-0.121032461652
0.32,-0.101343101343,-0.125783460047
0.325,-0.0903540903541,-0.124060763927
0.33,-0.0757020757021,-0.116824741556
0.335,-0.0512820512821,-0.105227110581
0.34,-0.043956043956,-0.09035750036
0.345,-0.034188034188,-0.0743694589027
0.35,-0.02442002442,-0.0590917783337
0.355,-0.00854700854701,-0.044898511181
